Name,Career Height,Career Weight,Career Points,Career Games,Career Assists,Career Def Rebounds,Career Off Rebounds,Career Turnovers,Career Blocks,Career Steals,Career Free Throw Percentage,Career Three Point Percentage,Career Field Goal Percentage,Career Win Shares,Offensive Win Shares,Defensive Win Shares,Career Usage Percentage,Box Plus Minus,True Shooting Per,PPG,APG,TPG,BPG,SPG,RPG
De'Andre Hunter,79.0,225.0,882.0,71.0,111.0,220.0,90.0,83.0,35.0,41.0,0.773,0.419,0.509,11.0,6.8,4.2,24.7,10.5,0.606,12.422535211267606,1.5633802816901408,1.1690140845070423,0.49295774647887325,0.5774647887323944,4.366197183098592
Trae Young,74.0,180.0,876.0,32.0,279.0,111.0,14.0,167.0,8.0,54.0,0.861,0.36,0.422,5.7,4.6,1.1,37.1,11.1,0.585,27.375,8.71875,5.21875,0.25,1.6875,3.90625
Vince Carter,79.0,215.0,1267.0,103.0,197.0,-999.0,-999.0,83.0,80.0,114.0,0.705,0.368,0.547,14.8,9.0,5.8,-999.0,-999.0,0.622,12.300970873786408,1.912621359223301,0.8058252427184466,0.7766990291262136,1.1067961165048543,-19.398058252427184
Cam Reddish,80.0,218.0,485.0,36.0,70.0,113.0,20.0,96.0,21.0,56.0,0.772,0.333,0.356,3.0,0.8,2.2,25.3,4.5,0.499,13.472222222222221,1.9444444444444444,2.6666666666666665,0.5833333333333334,1.5555555555555556,3.6944444444444446
Kevin Huerter,79.0,190.0,779.0,65.0,196.0,271.0,53.0,126.0,44.0,52.0,0.748,0.394,0.466,7.8,4.6,3.2,19.3,7.7,0.603,11.984615384615385,3.0153846153846153,1.9384615384615385,0.676923076923077,0.8,4.984615384615385
Bruno Fernando,82.0,240.0,770.0,64.0,89.0,413.0,145.0,148.0,101.0,33.0,0.763,0.308,0.595,8.3,4.5,3.8,23.1,8.1,0.638,12.03125,1.390625,2.3125,1.578125,0.515625,8.71875
Damian Jones,82.0,248.0,1313.0,99.0,71.0,423.0,207.0,197.0,167.0,37.0,0.565,,0.566,10.1,5.2,4.9,26.6,3.7,0.573,13.262626262626263,0.7171717171717171,1.9898989898989898,1.6868686868686869,0.37373737373737376,6.363636363636363
DeAndre' Bembry,78.0,210.0,1590.0,101.0,364.0,535.0,137.0,248.0,78.0,143.0,0.628,0.312,0.457,12.8,6.4,6.3,24.9,6.0,0.528,15.742574257425742,3.603960396039604,2.4554455445544554,0.7722772277227723,1.4158415841584158,6.653465346534654
John Collins,82.0,218.0,859.0,64.0,24.0,270.0,176.0,91.0,75.0,30.0,0.729,,0.601,7.1,5.7,1.4,27.8,7.4,0.638,13.421875,0.375,1.421875,1.171875,0.46875,6.96875
Brandon Goodwin,72.0,180.0,1651.0,126.0,477.0,396.0,116.0,290.0,11.0,137.0,0.716,0.301,0.474,13.3,8.9,4.3,24.1,2.2,0.563,13.103174603174603,3.7857142857142856,2.3015873015873014,0.0873015873015873,1.0873015873015872,4.063492063492063
Jeff Teague,74.0,180.0,1000.0,61.0,184.0,153.0,31.0,180.0,35.0,113.0,0.812,0.421,0.462,9.1,5.6,3.5,24.3,-999.0,0.586,16.39344262295082,3.0163934426229506,2.9508196721311477,0.5737704918032787,1.8524590163934427,3.0163934426229506
Treveon Graham,78.0,220.0,1882.0,140.0,199.0,512.0,293.0,191.0,29.0,111.0,0.691,0.354,0.432,18.0,11.4,6.6,26.8,7.3,0.542,13.442857142857143,1.4214285714285715,1.3642857142857143,0.20714285714285716,0.7928571428571428,5.75
Dewayne Dedmon,84.0,255.0,360.0,51.0,25.0,206.0,119.0,78.0,85.0,48.0,0.614,0.0,0.52,3.6,1.2,2.4,19.5,3.9,0.536,7.0588235294117645,0.49019607843137253,1.5294117647058822,1.6666666666666667,0.9411764705882353,6.372549019607844
Spencer Dinwiddie,78.0,200.0,1115.0,86.0,227.0,246.0,42.0,153.0,29.0,97.0,0.83,0.386,0.42,12.3,8.4,3.9,21.8,7.8,0.599,12.965116279069768,2.63953488372093,1.7790697674418605,0.3372093023255814,1.127906976744186,3.3488372093023258
Taurean Prince,79.0,215.0,1321.0,129.0,145.0,345.0,202.0,221.0,63.0,121.0,0.718,0.376,0.46,10.7,6.2,4.5,27.3,7.4,0.557,10.24031007751938,1.124031007751938,1.7131782945736433,0.4883720930232558,0.937984496124031,4.240310077519379
Jarrett Allen,83.0,235.0,442.0,33.0,27.0,178.0,100.0,84.0,51.0,19.0,0.564,0.0,0.566,3.3,1.5,1.7,22.6,5.2,0.571,13.393939393939394,0.8181818181818182,2.5454545454545454,1.5454545454545454,0.5757575757575758,8.424242424242424
Joe Harris,78.0,198.0,47.0,15.0,5.0,15.0,9.0,6.0,0.0,3.0,0.0,0.375,0.452,0.2,0.2,0.0,14.9,-4.0,0.535,3.1333333333333333,0.3333333333333333,0.4,0.0,0.2,1.6
DeAndre Jordan,83.0,250.0,278.0,35.0,15.0,144.0,66.0,57.0,44.0,7.0,0.437,-999.0,0.617,4.4,1.6,2.8,-999.0,-999.0,0.58,7.942857142857143,0.42857142857142855,1.6285714285714286,1.2571428571428571,0.2,6.0
Garrett Temple,78.0,190.0,901.0,134.0,482.0,395.0,107.0,293.0,113.0,191.0,0.783,0.278,0.371,10.8,1.8,9.0,13.5,-999.0,0.494,6.723880597014926,3.5970149253731343,2.1865671641791047,0.8432835820895522,1.4253731343283582,3.746268656716418
Caris LeVert,79.0,200.0,1070.0,103.0,275.0,325.0,39.0,136.0,22.0,97.0,0.77,0.401,0.434,10.0,6.3,3.7,22.8,6.8,0.552,10.388349514563107,2.6699029126213594,1.3203883495145632,0.21359223300970873,0.941747572815534,3.5339805825242716
Wilson Chandler,80.0,220.0,761.0,59.0,72.0,305.0,111.0,106.0,86.0,41.0,0.659,0.303,0.445,5.5,1.6,3.9,23.2,-999.0,0.504,12.898305084745763,1.2203389830508475,1.7966101694915255,1.4576271186440677,0.6949152542372882,7.050847457627119
Kyrie Irving,74.0,180.0,192.0,11.0,47.0,31.0,6.0,27.0,6.0,16.0,0.901,0.462,0.529,2.4,1.8,0.6,26.4,14.8,0.697,17.454545454545453,4.2727272727272725,2.4545454545454546,0.5454545454545454,1.4545454545454546,3.3636363636363638
Nicolas Claxton,83.0,220.0,545.0,65.0,64.0,276.0,127.0,90.0,123.0,39.0,0.611,0.302,0.457,4.8,2.3,2.5,20.2,4.8,0.526,8.384615384615385,0.9846153846153847,1.3846153846153846,1.8923076923076922,0.6,6.2
Chris Chiozza,72.0,160.0,1025.0,139.0,571.0,386.0,56.0,223.0,7.0,191.0,0.747,0.327,0.391,11.8,5.3,6.5,17.7,5.7,0.507,7.374100719424461,4.107913669064748,1.60431654676259,0.050359712230215826,1.3741007194244603,3.179856115107914
Justin Anderson,78.0,227.0,873.0,98.0,180.0,266.0,75.0,125.0,84.0,60.0,0.752,0.357,0.43,10.8,5.2,5.5,22.3,8.7,0.549,8.908163265306122,1.836734693877551,1.2755102040816326,0.8571428571428571,0.6122448979591837,3.479591836734694
Lance Thomas,81.0,225.0,647.0,140.0,64.0,251.0,257.0,166.0,33.0,77.0,0.6,-999.0,0.525,8.5,3.2,5.3,13.4,-999.0,0.55,4.621428571428571,0.45714285714285713,1.1857142857142857,0.2357142857142857,0.55,3.6285714285714286
Kevin Durant,81.0,215.0,903.0,35.0,46.0,284.0,106.0,99.0,67.0,66.0,0.816,0.404,0.473,8.8,4.7,4.1,33.2,-999.0,0.587,25.8,1.3142857142857143,2.8285714285714287,1.9142857142857144,1.8857142857142857,11.142857142857142
Tyler Johnson,0.0,-999.0,3.0,5.0,1.0,-999.0,-999.0,0.0,0.0,1.0,-999.0,1.0,0.333,0.0,0.0,0.0,-999.0,-999.0,0.5,0.6,0.2,0.0,0.0,0.2,-399.6
